Name,Category,Bio,Aliases,Flights,Documents,Connections,In Black Book,Nationality
Nicholas Christakis,academic,Yale sociologist who met Epstein in 2013 and corresponded through 2016.,Nicholas Alexander Christakis; Nick Christakis,0,227,0,No,American
Nicholas Cutaia,associate,Person sending an email with a revised draft jury charge.,Nick Cutaia,0,4,0,No,
Nicholas Gruenberg,business,Business contact listed in Epstein's black book.,Nick Gruenberg,0,0,0,Yes,American
Nicholas Haigh,other,Epstein travel entourage member; photographer on trips.,Nick Haigh,0,164,0,No,
Nicholas Negroponte,academic,MIT Media Lab co-founder who recommended accepting Epstein donations.,Nick Negroponte,0,223,0,No,American
Nick Pritzker,business,Hyatt heir; billionaire; emailed Epstein; cousin of Tom Pritzker.,Nicholas Pritzker,0,305,0,No,American
Nicola Caputo,other,Named on FBI co-conspirator list; unredacted by Congress (Feb 2026); identity disputed.,,0,16,0,No,
Nicolas Berggruen,business,Investor listed in Epstein's black book.,,0,77,0,Yes,German-American
Nicole Hesse,associate,Shipper,,0,17,0,No,
Nicole Miller,legal,Legal assistant at Kellerhals Ferguson; scheduled Epstein meetings.,,0,85,0,No,
Nicole Simmons,associate,Person who served the declaration.,,0,204,0,No,
Nikki Haley,politician,Former UN Ambassador; on DOJ 305 list; victim of AI-fabricated Epstein misinformation.,Haley; Nimrata Haley,0,45,0,No,American
Nili Priell,associate,"Key associate of Ehud Barak who appears in 3,474 documents and coordinated communications between Barak and Epstein.",Nili Priell Barak; Nili Priel,0,3508,0,No,Israeli
Noel Allx,associate,Correctional Officer who worked with Thomas and also failed to conduct rounds.,,0,9,0,No,
Nolan H. Brunson,associate,President/Donor,Brunson; Nolan Brunson,0,4,0,No,
Norman K. Moon,associate,Senior federal judge; ruled on Epstein-related CVRA litigation.,Norman Moon,0,712,0,No,
Not specified,associate,The individual whose watch log or duty log this is.,,0,5568,0,No,
Odis Echols,associate,Albuquerque President.,,0,3,0,No,
Oleg Deripaska,business,Russian aluminum oligarch sanctioned by the U.S. in 2018; Epstein provided advice on Deripaska matters through intermediaries including Peter Mandelson.,Deripaska; Oleg Vladimirovich Deripaska,0,54,0,No,Russian
Olga Kurylenko,celebrity,Ukrainian-French actress (James Bond); appears in 3 DOJ docs including a BAFTA event guest list; no allegations.,,0,3,0,Yes,Ukrainian-French
Olivier Colom,politician,"Former Sarkozy diplomatic adviser and Rothschild banker who exchanged 2,000+ emails with Epstein, brokering political introductions.",,0,464,0,No,French
Olivier Laude,associate,"Partner at Laude Esquior Champey, acting on behalf of Cohen & Gresser LLP.",,0,74,0,No,
Onel Pierressaint,associate,Landscaper,,0,24,0,No,
Orly Paris,associate,Paris-based financial contact in Epstein's Deutsche Bank correspondence.,,0,998,0,No,
Orville D. McDonald,associate,Investor and donor,McDonald; Orville McDonald,0,83,0,No,
Oscar S. Wyatt Jr.,associate,Business owner/Donor,Oscar Jr.; Oscar S. Wyatt,0,5,0,No,
Oscar de la Renta,business,Fashion designer listed in Epstein's black book; deceased.,Renta; Oscar Renta,0,65,0,Yes,Dominican-American
PIMP JUICE,associate,Myspace profile owner.,,0,63,0,No,
Pamela J. Bondi,associate,United States Attorney General.,Bondi; Pamela Bondi,0,57,0,No,
Paolo Zampolli,associate,Model agent who co-attempted Elite Models acquisition with Epstein; partnered with Maxwell on TerraMar.,,0,11,0,No,Italian
Pat Benatar,celebrity,Rock and Roll Hall of Fame inductee (2022); four consecutive Grammy wins (1980-1983); listed in Epstein's black book.,Patricia Mae Andrzejewski; Patricia Benatar,0,7,0,Yes,American
Patricia Cayne,socialite,"Wife of Bear Stearns CEO Jim Cayne, connected to Epstein social circle",Pat Cayne,0,0,0,No,American
Patricia Neville,other,Model with Wilhelmina Models NYC who had direct email contact with Epstein in 2010.,Pat Neville,0,114,0,No,American
Patrick Byrne,business,Former Overstock.com CEO; Epstein introduced him to Steve Bannon 2018-2019.,Byrne,0,81,0,No,American
Patrick Campion,business,Former Head of Wealth Management in the Americas at Deutsche Bank (hired 2016). Led the division that managed Epstein's 40+ accounts through December 2018. Served on the Board of Deutsche Bank USA and Deutsche Bank Securities. Later became Independent Director at Peapack-Gladstone Financial.,,0,0,0,No,American
Patrick Gerschel,business,"Principal at Gerschel & Co., 600 Madison Avenue; referenced in Epstein financial records.",,0,506,0,No,
Patrick J. Smith,associate,"Partner at Smith Villazor LLP who represented Jordana Feldman, the independent administrator of the Epstein Victims Compensation Program, in the Maxwell federal proceedings.",Smith; Patrick Smith,0,266,0,No,
Paul A. Engel Mayer,associate,United States District Judge.,Mayer; Paul Mayer,0,101,0,No,
Paul Allen,business,Microsoft co-founder; 3 black book numbers; died 2018; no allegations.,,0,887,0,Yes,American
Paul Barratt,business,Alpha Group Capital professional referenced in Epstein financial documents.,,0,9,0,No,
Paul Barrett,business,"Epstein's personal trader and asset manager; founded Alpha Group Capital, had power of attorney over Epstein's accounts.","Barrett, Paul S; Paul S. Barrett",0,2365,0,No,American
Paul Blanchard,associate,Business owner and donor.,,0,58,0,No,
Paul Byrne,legal,NYPD/FBI Child Exploitation Human Trafficking Task Force detective; referenced in Epstein case investigation files.,Detective Paul Byrne,0,63,0,No,
Paul E. Cook,associate,Program manager,Paul Cook,0,234,0,No,
"Paul H. Schoeman, Esq.",associate,attorney mentioned in conversation.,"Paul Esq.; Paul H. Schoeman,",0,180,0,No,
Paul Harris,associate,Contact listed in Epstein's black book.,,0,134,0,Yes,British
Paul Kedrosky,other,Venture capitalist and tech investor; Epstein academic network contact.,,0,5,0,No,Canadian-American
Paul Krassner,other,American satirist and founder of The Realist magazine who corresponded with Epstein and received personal financial support from him.,,0,387,0,No,
Paul M. Daugerdas,associate,Defendant in the case.,Daugerdas; Paul Daugerdas,0,93,0,No,
Paul Ryan,politician,Former House Speaker; on DOJ 305 list; no reported direct Epstein connection.,Ryan,0,227,0,No,American
Paul Shechtman,associate,Attorney for David Parse.,,0,11,0,No,
Paul Tudor Jones,business,Hedge fund manager listed in Epstein's black book.,Paul Tudor Jones II; Jones; Paul Jones,0,89,0,Yes,American
Paul Tweed,legal,Belfast defamation lawyer mentioned in Epstein case documents,,0,500,0,No,British-Northern Irish
Paula A. Heil Fisher,associate,"Former Bear Stearns colleague and long-term girlfriend of Epstein; Broadway/opera producer who connected Epstein to conductor Frederic Chaslin and the Leese family; 404 documents, black book entry with 9 numbers.",Paula Heil Fisher; Paula Fisher; Paula Heil; Fisher,0,500,0,Yes,American
Paula Epsilon,associate,Passenger,,0,10,0,No,
Paula Garrity,other,Friend of Lesley Groff; wife of former NBA player Pat Garrity. Referenced in EFTA correspondence.,,0,406,0,No,American
Pavel Gurvich,military-intelligence,"IDF Unit 81 graduate and Guardicore co-founder; recruited by Barak to source offensive cyberweapons startups; Epstein pursued Rothschild Group funding for the pipeline, per Drop Site News.",,0,1,0,No,Israeli
Peg Ugland,business,Treasurer of Wexner Family Charitable Fund and Wexner Foundation; director of Epstein offshore entities.,,0,467,0,No,American
Peggy Siegel,socialite,NYC PR consultant who promoted Epstein social rehabilitation. Arranged screenings and political introductions.,Margaret Siegel,0,765,0,No,American
Perry Bard,other,"Dr. Perry Bard is a Palm Beach chiropractor and physical therapist who provided regular in-home chiropractic and physical therapy sessions to Epstein at his Palm Beach residence, coordinated through Lesley Groff.",,0,793,0,No,
Peter Brant,business,Newsprint magnate listed in Epstein's black book.,Pete Brant,0,211,0,Yes,American
Peter Cook,other,Architect listed in Epstein's black book.,Pete Cook,0,130,0,Yes,American
Peter Dubinin,associate,Contact listed in Epstein's black book.,Pete Dubinin,0,0,0,Yes,American
Peter Gabriel,celebrity,"English musician, Genesis founder, and human rights activist listed in Epstein's black book.",Pete Gabriel,0,182,0,Yes,British
Peter Norvig,academic,Google Director of Research; mentioned in Epstein correspondence.,Pete Norvig,0,30,0,No,American
Peter Nygard,business,Fashion executive listed in Epstein's black book; later convicted.,Pete Nygard,0,36,0,Yes,Canadian
Peter Power,other,Mandelson spokesperson; mentioned in Mandelson-Epstein email.,Pete Power,0,2887,0,No,British
Peter St. Omer,associate,"Employee at Jeffrey Epstein's Little St. James island in the US Virgin Islands, listed in staff records as a building maintenance worker.",Peter Omer; Pete St. Omer,0,665,0,No,
Petter Stordalen,business,Norwegian hotel billionaire; named in Norwegian Epstein scandal context.,Stordalen,0,0,0,No,Norwegian
Phil Collins,celebrity,Genesis frontman; in Epstein's black book with 3 numbers; named in December 2025 DOJ file release; no allegations.,Philip David Charles Collins,0,42,0,Yes,British
Philip Barden,associate,Personal assistant in Epstein's network.,,0,126,0,Yes,British
Philip Levine,politician,"Former Miami Beach mayor; 600+ EFTA mentions; emailed Epstein post-conviction calling him ""a great guy""; Maxwell named Levine a ""very good friend""",,0,681,0,No,American
Philip Rosedale,business,"Founder and CEO of Linden Lab, creator of the virtual world Second Life. Named in released Epstein files with direct correspondence. Revelation triggered protests across the Second Life virtual platform and significant public backlash in early 2026.",,0,178,0,No,American
Philippe JAIGLIF,associate,Chef du Bureau de l'Entraide Pénale Internationale.,Philippe JAIGLÉ,0,9,0,No,
Phillip Diaz,other,Epstein mentee; put through vocational school; Palm Beach documents.,,0,92,0,No,American
Physician Assistant (PA),associate,Conducted medical Intake Screening and History and Physical for Mr. Epstein.,Physician (PA),0,17,0,No,
Pia Salazar,associate,Attorney and donor,,0,6,0,No,
Pierre James,associate,"Employee connected to Epstein properties and operations, identified in case documents as a heavy machinery operator. His name appears in staff and payroll-related records linked to Epstein residences and the Virgin Islands operations.",,0,1734,0,No,
Pierre Jules,associate,Named $1M beneficiary in Epstein 1953 Trust.,,0,198,0,No,
Pierre N. Leval,associate,Circuit Judge,Leval; Pierre Leval,0,38,0,No,
Pierre Omidyar,business,"eBay founder; Santa Fe Institute trustee; attended Epstein dinner with Musk, Page, Brin, Pritzker.",,0,144,0,No,American
Pinchas Buchris,military-intelligence,Former Unit 8200 commander and Defense Ministry director general; served on Carbyne board; told Haaretz that Epstein's investment was deliberately concealed behind Barak's name.,,0,14,0,No,Israeli
Polina Sikorska,associate,"Ukrainian model and actress who recruited women for Epstein, traveled to his properties voluntarily, and received career advancement in exchange for her association.",Polina Sikorskaya; Polina Boyd,0,132,0,No,Ukrainian
Preet Bharara,associate,United States Attorney.,,0,68,0,No,
Prince Albert of Monaco,royalty,Sovereign Prince of Monaco.,Albert II; Monaco; Albert of Monaco,0,219,0,Yes,Monegasque
Prince Bandar bin Sultan,royalty,Former Saudi Ambassador to U.S. listed in Epstein's black book.,Bandar Bush; Sultan; Bandar bin Sultan,0,94,0,Yes,Saudi
Prince Karim Aga Khan IV,royalty,Spiritual leader listed in Epstein's black book.,Aga Khan IV; Karim Aga Khan IV; Prince Karim Aga Khan,0,20,0,Yes,British-Portuguese
Prince Michael of Kent,royalty,Member of the British Royal Family.,Michael of Kent,0,139,0,Yes,British
Prince Pavlos of Greece,royalty,Crown Prince of Greece (in exile),Crown Prince Pavlos; Greece; Pavlos of Greece,0,207,0,Yes,Greek
Princess Jenny,associate,Myspace user commenting on the profile.,,0,75,0,No,
Pusha T,celebrity,Rapper; named in an unverified July 2019 FBI tip as alleged handler; no investigation or charges.,,0,78,0,No,
R. Bart Rutledge,associate,Albuquerque home builder.,Rutledge; R. Rutledge,0,4,0,No,
R. Craig Brubaker,associate,Sender of emails,Brubaker; R. Brubaker; Craig Brubaker,0,8,0,No,
REC OFFICER #1,associate,Records Officer with redacted identity.,REC #1,0,74,0,No,
REC OFFICER #2,associate,Records Officer with redacted identity.,REC #2,0,74,0,No,
ROBERT W. SWEET,associate,Federal district judge in New York who presided over the Giuffre defamation case against Ghislaine Maxwell and denied Maxwell's motion to dismiss.,SWEET; ROBERT SWEET; Bob W. SWEET; Rob W. SWEET,0,472,0,No,
Rafi Shlomo,military-intelligence,"Director of Protective Services at the Israeli UN Mission; personally managed surveillance installation and staff vetting at Epstein's 301 East 66th Street building where Barak resided, per DOJ emails.",,0,21,0,No,Israeli
Ralph E Lerner,legal,"Director and Secretary, Leon D Black Foundation. Appears in 199+ Epstein documents including emails on consulting fees and 1031 exchanges.",Lerner; Ralph Lerner,0,238,0,No,American
Ralph Fiennes,celebrity,British actor; black book entry with 5 numbers; named in Phase 1 DOJ release and Giuffre v. Maxwell court articles; in Epstein social emails and event lists; not in flight logs; no allegations.,Ralph Nathaniel Twisleton-Wykeham-Fiennes,0,26,0,Yes,British
Ralph Lauren,business,Fashion designer and Ralph Lauren Corporation founder listed in Epstein's address book; no allegations of wrongdoing.,Ralph Lifshitz,0,1359,0,Yes,American
Ralph Nader,other,Consumer advocate listed in Epstein's black book.,,0,57,0,Yes,American
Ramon Alonso Ocejo,business,"Miami architect (Radyca) who designed Epstein island ""Ladies' Residence"" with 4 identical rooms (2017-2018, fired)",Ramon Alonso; Ocejo; Ramon Ocejo,0,615,0,No,American
Ramon Linderman,associate,Boat captain at Epstein's Island.,,0,32,0,No,
Ramona Alaggia,associate,Author and researcher on CSA disclosures.,,0,5,0,No,
Ramsey Elkholy,associate,New York-based model manager and anthropologist who appears in 3.,Ramsey El Kholy; Monotronic,0,2935,0,No,American
Rande Gerber,business,Entrepreneur listed in Epstein's black book.,,0,99,0,Yes,American
"Raymond J. Lohier, Jr.",associate,Circuit Judge,"Raymond Jr.; Raymond J. Lohier,; Ray J. Lohier, Jr.",0,10,0,No,
Regina Chacon,associate,"Assistant Bureau Chief, Law Enforcement Records Bureau, NM Department of Public Safety.",,0,14,0,No,
Reichart Von Wolfsheild,associate,Associate listed in Epstein correspondence; social circle contact.,Baron RK Von Wolfsheild; Wolfsheild; Reichart Wolfsheild,0,24,0,No,American
Reinaldo Avila da Silva,socialite,Husband of Lord Peter Mandelson. Referenced in EFTA01817550 in connection with Mandelson's visits.,Reinaldo da Silva; Silva; Reinaldo Silva,0,171,0,No,Brazilian-British
Renato Lacson,associate,Household staff at Epstein Palm Beach property (2016-2019),Renato A. Lacson; Renato Otan,0,390,0,No,Filipino
Reyna Amparo,associate,Housekeeper,,0,80,0,No,
Ric Bradshaw,associate,Palm Beach County Sheriff.,,0,79,0,No,
Ricardo Salinas Pliego,business,"Mexican billionaire, founder of Grupo Salinas. Appears in 26+ DOJ EFTA files. Connected via John Brockman invitations...",Ricardo Salinas; Pliego; Ricardo Pliego,0,29,0,No,Mexican
Riccardo Mazzucchelli,socialite,Italian businessman listed in Epstein's black book.,,0,0,0,Yes,Italian
Richard Axel,academic,Nobel Prize-winning Columbia biologist; maintained social relationship with Epstein (2007-2017),Dick Axel; Rick Axel,0,1220,0,No,
Richard Berman,legal,Judge who denied Epstein's bail in 2019 federal case.,Dick Berman; Rick Berman,0,396,0,No,American
Richard C. Wesley,legal,Second Circuit federal judge involved in Epstein appellate proceedings,Judge Wesley,0,409,0,No,American
Richard Connaughton,associate,Palm Beach resident referenced in EFTA documents. Correspondence with Epstein included family photographs.,Dick Connaughton; Rick Connaughton,0,3,0,No,American
Richard Dawkins,academic,Evolutionary biologist who flew on Epstein's jet to TED in 2002.,Dick Dawkins; Rick Dawkins,0,349,0,No,British
Richard Iarossi,legal,Appears in 30 case documents in legal proceedings,Richard Iaro,0,753,0,No,American
Richard J. Durbin,politician,US Senator who wrote to the French Minister of Foreign Affairs.,Durbin; Richard Durbin; Dick J. Durbin; Rick J. Durbin,0,21,0,No,
Richard J. Sullivan,associate,"United States Circuit Judge on the Second Circuit Court of Appeals. Judge Sullivan is named in court mandates and orders connected to the Ghislaine Maxwell criminal case and related proceedings, including appeals documents filed in 2021. Prior to elevation to the Second Circuit, Sullivan served as a U.S. District Judge in the Southern District of New York.",Sullivan; Richard Sullivan; Dick J. Sullivan; Rick J. Sullivan,0,995,0,No,
Richard Keyworth,other,Contact referenced in Epstein files via email correspondence.,,0,9,0,No,
Richard L. Fisher,associate,Law Partner and donor.,Fisher; Richard Fisher; Dick L. Fisher; Rick L. Fisher,0,182,0,No,
Richard Parsons,business,Former Citigroup chairman listed in Epstein's black book.,Dick Parsons; Rick Parsons,0,155,0,Yes,American
Richard Plepler,business,Former HBO CEO listed in Epstein's black book.,Dick Plepler; Rick Plepler,0,4,0,Yes,American
Richard Saul Wurman,associate,"Architect, graphic designer, and founder of TED conferences. Close personal friend of Epstein with correspondence continuing after 2008 conviction. Wrote ""REALLY MISS YOU"" email to Epstein circa 2016. Got Epstein to sponsor his 2012 WWW Conference. Attended Edge Foundation Billionaires' Dinners alongside Epstein. Visited Little St. James Island.",Richard Wurman,0,502,0,No,American
Richard Snyder,business,In Epstein black book and flight logs; publishing industry executive.,Dick Snyder; Rick Snyder,0,210,0,Yes,American
Rina Danielson,associate,Person serving the Brief of Amicus Curiae.,,0,8,0,No,
Rina Oh,other,Former model who publicly accused Epstein of assault.,,0,23,0,No,American
Rinaldo Rizzo,other,Former Dubin butler; Maxwell trial witness.,,0,41,0,No,American
Ro Khanna,politician,U.S. Representative; read six redacted Epstein names into Congressional Record.,,0,12,0,No,American
Robert A. Katzmann,associate,Chief Judge,Katzmann; Robert Katzmann; Bob A. Katzmann; Rob A. Katzmann,0,7,0,No,
Robert Bass,business,Fort Worth billionaire investor and Aerion founder listed in Epstein's address book; sold the Plaza Hotel to Trump in 1988.,Robert Muse Bass; Bob Bass; Rob Bass,0,542,0,Yes,American
Robert Couri Hay,socialite,NYC publicist; Epstein tried to hire for PR in 2010 and 2019.,Robert Coury Hay; Robert Hay; Bob Couri Hay; Rob Couri Hay,0,12,0,No,American
Robert De Niro,celebrity,"American actor and Tribeca Film Festival co-founder. Two-time Academy Award winner (The Godfather Part II, Raging Bull). Listed in Epstein's black book; Tribeca fundraising emails found in Epstein's files. No allegations of wrongdoing.",Robert Niro; Bob De Niro; Rob De Niro,0,193,0,Yes,American
Robert Gascoyne-Cecil,politician,British politician listed in Epstein's black book.,Viscount Cranborne; 7th Marquess of Salisbury; Bob Gascoyne-Cecil; Rob Gascoyne-Cecil; Robert Gascoyne; Robert Cecil,0,0,0,Yes,British
Robert J. Conrad,associate,Individual with FEC contribution records.,Conrad; Robert Conrad; Bob J. Conrad; Rob J. Conrad,0,143,0,No,
Robert Kraft,business,Patriots owner whose 2019 solicitation defense was shaped by Epstein's attorney referral,Bob Kraft; RKK,0,27,0,No,American
Robert Kuhn,academic,"American author, CGTN host, and PBS producer who received $650K+ from Epstein's Gratitude America Ltd. Served as Epstein's China connection.",Robert Lawrence Kuhn; Robert L. Kuhn; Bob Kuhn; Rob Kuhn,0,755,0,No,American
Robert Lighthizer,politician,Former U.S. Trade Representative; referenced in Epstein political correspondence.,,0,0,0,No,
Robert Maxwell,military-intelligence,"British media mogul, Ghislaine Maxwell's father, alleged Mossad asset; his 1991 funeral drew six Israeli intelligence chiefs; looted 526 million pounds from employee pension funds.",Jan Ludvik Hyman Binyamin Hoch; Bob Maxwell; Rob Maxwell,0,2057,0,No,British
Robert Meister,business,"Aon vice chairman; introduced Epstein to Les Wexner circa 1990, enabling Epstein's access to Wexner's fortune.",Bob Meister; Rob Meister,0,359,0,Yes,American
Robert Menendez,politician,Former NJ senator; convicted on all 16 counts including bribery and acting as foreign agent in 2024; resigned August 2024; listed in Epstein black book.,Bob Menendez; Rob Menendez,0,75,0,Yes,American
Robert Mueller,legal,Former FBI Director during initial Epstein investigation.,Robert Swan Mueller III; Bob Mueller; Rob Mueller,0,268,0,No,American
Robert Thurman,academic,Columbia professor listed in Epstein's black book.,Bob Thurman; Rob Thurman,0,8,0,Yes,American
Robert Trump,business,"Donald Trump's brother and Trump Organization executive, listed in Epstein's address book. Died August 2020.",Bob Trump; Rob Trump,0,703,0,Yes,American
Robert Y. Lewis,associate,Attorney representing Sarah Ransome and Elizabeth Stein.,Lewis; Robert Lewis; Bob Y. Lewis; Rob Y. Lewis,0,34,0,No,
Roberta Flack,celebrity,"Grammy-winning R&B singer, first to win Record of the Year twice consecutively; 2 black book numbers (deceased 2025)",,0,17,0,Yes,American
Robin Birley,other,Nightclub impresario,,0,0,0,No,
Robin Leach,celebrity,Host of Lifestyles of the Rich and Famous; in Epstein black book; named in unverified FBI complaint; deceased 2018.,,0,90,0,No,
Robin Solomon,associate,Mount Sinai VP of Trustee Services; referenced in EFTA documents re: Epstein relationship.,,0,374,0,No,
Rod Rosenstein,legal,Former Deputy AG; oversaw DOJ during key Epstein investigation period.,Rosenstein,0,74,0,No,American
Roger Schank,academic,AI pioneer who attended Epstein-funded AI conference on Little St. James; Manhattan neighbor of Epstein; died 2023.,Roger C. Schank,0,2133,0,No,American
Roman Abramovich,business,Russian oligarch; former Chelsea FC owner; named in EFTA files.,,0,59,0,No,Russian-Israeli
Ron Altbach,business,"Keyboardist, co-founder of the rock band King Harvest.",Ronald Altbach,0,47,0,No,
Ron DeSantis,politician,Florida Governor; signed Epstein grand jury records release bill; empaneled state grand jury.,Ronald Dion DeSantis; Ronald DeSantis,0,66,0,No,American
Ron Paul,politician,Former Texas congressman and libertarian presidential candidate; named on DOJ 305-person list; no direct Epstein connection alleged.,Paul; Ronald Paul,0,13073,0,No,American
Ronald Lauder,business,Estée Lauder heir and diplomat named in Epstein's social circle,Ron Lauder,0,506,0,No,American
Rony Shimony,academic,Mount Sinai cardiologist who helped source medical equipment for Epstein's island and ranch.,,0,259,0,No,American
Rosa Monckton,associate,Epstein's friend and former CEO of Tiffany & Co. UK.,,0,35,0,No,
Rosemary Vrablic,business,Deutsche Bank private banker who managed Epstein account.,,0,527,0,No,American
Rosie McGoldrick,associate,Property manager for Epstein's NYC townhouse.,,0,2,0,Yes,American
Roy Hodges,associate,Superyacht captain who managed Little St. James island operations alongside wife Stephanie Hodges; named in EFTA documents; later captained superyacht Laurel during 2019 Hurricane Dorian relief.,Captain Roy Hodges,0,2680,0,No,
Roy Romney,associate,Manager at LSJ,,0,57,0,No,
Rudy Giuliani,politician,"Rudy Giuliani, former Mayor of New York City and personal attorney to President Donald Trump, was in contact with Epstein's circle in September 2010 when a meeting between the two was nearly arranged through intermediaries and coordinating assistants.",Rudolph Giuliani; Rudolph W. Giuliani; Rudolf Giuliani; Mayor Giuliani,0,180,0,No,American
Rupert Murdoch,business,News Corp and Fox founder; black book contact; WSJ-Fox split over Trump-Epstein reporting in 2025.,Keith Rupert Murdoch,0,229,0,Yes,American
Rupert Sheldrake,academic,British biologist known for morphic resonance theory who exchanged emails with Epstein in 2016 discussing telepathy research and fringe science topics.,Dr. Rupert Sheldrake,0,364,0,No,British
Rusan Lateef,associate,Co-author and researcher on CSA disclosures.,,0,5,0,No,
Ruth Pickholz,associate,Justice of the Supreme Court at Jeffrey Epstein's SORA hearing.,,0,72,0,No,
S. Allen Counter,associate,Director of the Harvard Foundation; cited by Epstein donors as endorsement.,Counter; S. Counter,0,959,0,No,
S. Donald Sussman,business,"Paloma Partners founder; shared Epstein's Red Hook building, attorney, and USVI tax program",Donald Sussman; S. Donald Sussman; Selwyn Donald Sussman,0,0,0,No,American
S. Skipper-Scott,associate,Associate Warden notified of the incident.,S. Skipper; S. Scott,0,6,0,No,
"STANLEY J. OKULA, JR.",associate,Attorney or representative submitting a letter to Judge Pauley.,"STANLEY JR.; STANLEY J. OKULA,; Stanley J. Okula; Okula; Stanley Okula",0,11,0,No,
Sabrina Nunez,other,Email correspondent referenced in Epstein files.,,0,6,0,No,
Salvatore Nuara,legal,Retired NYPD detective; named on FBI co-conspirator list; unredacted by Congress (Feb 2026),,0,1,0,Yes,American
Sam Jaradeh,associate,Boris Nikolic's spouse; received Epstein apartment; direct email correspondence 2010-2013.,Samir Jaradeh; Samuel Jaradeh,0,831,0,No,American
Samantha Power,politician,Former USAID Administrator and U.S. Ambassador to the United Nations; named on DOJ February 2026 list of 305 politically exposed persons appearing in the Epstein files.,Power,0,2872,0,No,American
Sammy Sosa,other,Dominican baseball right fielder.,,0,16,0,No,
Samuel Klagsbrun,academic,Psychiatrist treating Dana Burns; Epstein inner circle medical contact.,Sam Klagsbrun,0,14,0,No,American
Sana Alajmovic,business,Swedish biotech CEO; SALSS 2012 coordinator who emailed Epstein CVs and photos of young women.,,0,80,0,No,Swedish
"Sanchez, Carlos",associate,Defense attorney for Jeffrey Epstein.,,0,190,0,No,
Sarah Kazemy,celebrity,"French-Iranian actress (Circumstance, 2011); three emails to Epstein's personal account in EFTA files, 2010-2011.",,0,53,0,No,French-Iranian
Sarah Mapes,associate,Appears in 39 case documents,Sarah Mape,0,501,0,No,American
Scott Denett,other,Property procurement and logistics coordinator in Epstein's network.,,0,3968,0,No,American
Scott Lamine,associate,Recipient of the email.,,0,13,0,No,
Scott Rothstein,legal,Disbarred Florida attorney sentenced to 50 years for a $1.2B Ponzi scheme; Epstein sued him for fabricating cases using his name.,,0,1847,0,No,American
Sergei Belyakov,military-intelligence,FSB Academy graduate and former Russian Deputy Minister of Economic Development; corresponded with Epstein on surveillance of a Russian woman blackmailing U.S. businessmen; arranged Barak's SPIEF 2015 appearance.,Sergey Belyakov,0,77,0,No,
Sergey Brin,business,Google co-founder in Epstein's black book; 2003 Maxwell emails; accuser Sarah Ransome alleges 2007 island visit with then-fiancee Anne Wojcicki.,,0,356,0,Yes,American
Sgt Frick,associate,Officer who accompanied the interviewer during the investigation.,,0,373,0,No,
Shadi Shahrokhi,associate,Talent/modeling industry associate referred to Epstein by CORE founder Jennie Saunders.,,0,7,0,No,
Shaher Abdulhak,business,Yemeni billionaire; extensive Epstein email correspondence; oil ventures.,,0,504,0,No,Yemeni
Sharon Churcher,associate,British journalist who was the first to publish Virginia Giuffre's account of Epstein abuse in 2011.,,0,162,0,No,British
Sharon R. Bock,associate,Clerk and Comptroller.,Sharon Bock,0,217,0,No,
Shaun Nedwick,associate,Recipient or sender of a message on 8/29/2005.,,0,2,0,No,
Shawn Carter (Jay-Z),celebrity,Duplicate of Jay-Z (p-1765); survivor testimony reference; no charges.,(Jay-Z); Shawn (Jay-Z),0,0,0,No,
Shawn [REDACTED],associate,Plaintiff's ex-boyfriend who transported her to Epstein's house.,,0,23,0,No,
Shayna Casdorph,associate,Associate who witnessed suspicious activity.,,0,4,0,No,
Sheldon Adelson,business,Casino magnate listed in Epstein's black book; deceased.,,0,113,0,Yes,American
Sheridan Elizee,associate,Mechanical and truck driver at LSJ (Epstein's Island),,0,42,0,No,
Si Newhouse,business,Conde Nast chairman listed in Epstein's black book; deceased.,Samuel Irving Newhouse Jr.,0,15,0,Yes,American
Simon Ghraichy,celebrity,Franco-Lebanese concert pianist who visited Epstein in New York; reminders about his visits sent to Epstein by staff.,,0,507,0,No,
Simon Le Bon,celebrity,Duran Duran vocalist; in Epstein's black book (London address); publicly stated he never met Epstein.,Simon Bon,0,27,0,Yes,British
Simon Nall,business,Deutsche Bank professional involved in escalation review of Epstein-linked accounts.,,0,0,0,No,
Simon Winthrop,celebrity,Corporate magician; met Epstein during house arrest (Oct. 2009); denied the lunch to NYT reporter.,,0,24,0,No,American
Simona Petreike,associate,Lithuanian ballet dancer who corresponded with Epstein from 2009 to 2019; bequeathed $3 million in his 1953 Trust executed two days before his death. Brought to Epstein's Manhattan home by Ramsey Elkholy in March 2018. Co-addressed in emails with Jean-Luc Brunel about scouting in Vilnius.,Balerina Simona; balerinasimona@hotmail.com; Simona Petreikiene,0,7,0,No,
"Skipper-Scott, Shirley V.",associate,Associate Warden notified of the incident.,"Skipper-Scott, V.; Skipper-Scott, AW",0,27,0,No,
Solomon D. Trujillo,associate,Chairman & CEO,Trujillo; Solomon Trujillo,0,7,0,No,
Somers Farkas,socialite,"U.S. Ambassador to Malta. Socialite who told a PR agent in 2010: ""I do know Jeffrey, and I like him.""",,0,27,0,No,American
Sonya Thompson,associate,Recipient of the email chain and potentially responsible for handling media attention.,,0,30,0,No,
Sophie Biddle,associate,Connected to Epstein's social network,Sophie Biddle-Hakim,0,78,0,No,British
Sophie Birdle-Hakim,associate,Passenger,Sophie Birdle; Sophie Hakim,0,8,0,No,
